"State","MSN","2021"
"IL","MGACP",94136.00
"IL","MGACV",11405.20
"IL","MGCCB",13491.00
"IL","MGCCD",23.99
"IL","MGCCP",2672.00
"IL","MGCCV",323.70
"IL","MGICB",10476.00
"IL","MGICD",23.99
"IL","MGICP",2074.00
"IL","MGICV",251.30
"IL","MGTCB",499354.00
"IL","MGTCD",23.99
"IL","MGTCP",98882.00
"IL","MGTCV",11980.20
"IN","MGACB",353220.00
"IN","MGACD",23.18
"IN","MGACP",69945.00
"IN","MGACV",8187.90
"IN","MGCCB",7513.00
"IN","MGCCD",23.18
"IN","MGCCP",1488.00
"IN","MGCCV",174.20
"IN","MGICB",5373.00
"IN","MGICD",23.18
"IN","MGICP",1064.00
"IN","MGICV",124.50
"IN","MGTCB",366105.00
"IN","MGTCD",23.18
"IN","MGTCP",72496.00
"IN","MGTCV",8486.60
"KS","MGACB",143986.00
"KS","MGACD",23.42
"KS","MGACP",28512.00
"KS","MGACV",3372.00
"KS","MGCCB",3075.00
"KS","MGCCD",23.42
"KS","MGCCP",609.00
"KS","MGCCV",72.00
"KS","MGICB",4726.00
"KS","MGICD",23.42
"KS","MGICP",936.00
"KS","MGICV",110.70
"KS","MGTCB",151787.00
"KS","MGTCD",23.42
"KS","MGTCP",30057.00
"KS","MGTCV",3554.60
"KY","MGACB",250521.00
"KY","MGACD",23.97
"KY","MGACP",49608.00
"KY","MGACV",6005.90
"KY","MGCCB",4106.00
"KY","MGCCD",23.97
"KY","MGCCP",813.00
"KY","MGCCV",98.40
"KY","MGICB",2849.00
"KY","MGICD",23.97
"KY","MGICP",564.00
"KY","MGICV",68.30
"KY","MGTCB",257476.00
"KY","MGTCD",23.97
"KY","MGTCP",50985.00
"KY","MGTCV",6172.70
"LA","MGACB",254356.00
"LA","MGACD",22.40
"LA","MGACP",50367.00
"LA","MGACV",5697.80
"LA","MGCCB",4200.00
"LA","MGCCD",22.40
"LA","MGCCP",832.00
"LA","MGCCV",94.10
"LA","MGICB",3946.00
"LA","MGICD",22.40
"LA","MGICP",781.00
"LA","MGICV",88.40
"LA","MGTCB",262502.00
"LA","MGTCD",22.40
"LA","MGTCP",51981.00
"LA","MGTCV",5880.30
"MA","MGACB",283438.00
"MA","MGACD",24.63
"MA","MGACP",56126.00
"MA","MGACV",6980.90
"MA","MGCCB",7297.00
"MA","MGCCD",24.63
"MA","MGCCP",1445.00
"MA","MGCCV",179.70
"MA","MGICB",4014.00
"MA","MGICD",24.63
"MA","MGICP",795.00
"MA","MGICV",98.90
"MA","MGTCB",294749.00
"MA","MGTCD",24.63
"MA","MGTCP",58366.00
"MA","MGTCV",7259.50
"MD","MGACB",281646.00
"MD","MGACD",25.07
"MD","MGACP",55771.00
"MD","MGACV",7060.20
"MD","MGCCB",9048.00
"MD","MGCCD",25.07
"MD","MGCCP",1792.00
"MD","MGCCV",226.80
"MD","MGICB",2904.00
"MD","MGICD",25.07
"MD","MGICP",575.00
"MD","MGICV",72.80
"MD","MGTCB",293598.00
"MD","MGTCD",25.07
"MD","MGTCP",58138.00
"MD","MGTCV",7359.80
"ME","MGACB",75914.00
"ME","MGACD",24.97
"ME","MGACP",15032.00
"ME","MGACV",1895.70
"ME","MGCCB",1658.00
"ME","MGCCD",24.97
"ME","MGCCP",328.00
"ME","MGCCV",41.40
"ME","MGICB",1126.00
"ME","MGICD",24.97
"ME","MGICP",223.00
"ME","MGICV",28.10
"ME","MGTCB",78699.00
"ME","MGTCD",24.97
"ME","MGTCP",15584.00
"ME","MGTCV",1965.20
"MI","MGACB",505201.00
"MI","MGACD",23.43
"MI","MGACP",100040.00
"MI","MGACV",11835.60
"MI","MGCCB",10776.00
"MI","MGCCD",23.43
"MI","MGCCP",2134.00
"MI","MGCCV",252.40
"MI","MGICB",7919.00
"MI","MGICD",23.43
"MI","MGICP",1568.00
"MI","MGICV",185.50
"MI","MGTCB",523896.00
"MI","MGTCD",23.43
"MI","MGTCP",103742.00
"MI","MGTCV",12273.60
"MN","MGACB",275394.00
"MN","MGACD",23.77
"MN","MGACP",54534.00
"MN","MGACV",6547.40
"MN","MGCCB",5248.00
"MN","MGCCD",23.77
"MN","MGCCP",1039.00
"MN","MGCCV",124.80
"MN","MGICB",6402.00
"MN","MGICD",23.77
"MN","MGICP",1268.00
"MN","MGICV",152.20
"MN","MGTCB",287044.00
"MN","MGTCD",23.77
"MN","MGTCP",56840.00
"MN","MGTCV",6824.40
"MO","MGACB",364097.00
"MO","MGACD",22.88
"MO","MGACP",72098.00
"MO","MGACV",8331.00
"MO","MGCCB",7022.00
"MO","MGCCD",22.88
"MO","MGCCP",1390.00
"MO","MGCCV",160.70
"MO","MGICB",4781.00
"MO","MGICD",22.88
"MO","MGICP",947.00
"MO","MGICV",109.40
"MO","MGTCB",375899.00
"MO","MGTCD",22.88
"MO","MGTCP",74436.00
"MO","MGTCV",8601.00
"MS","MGACB",200899.00
"MS","MGACD",22.36
"MS","MGACP",39782.00
"MS","MGACV",4491.80
"MS","MGCCB",2444.00
"MS","MGCCD",22.36
"MS","MGCCP",484.00
"MS","MGCCV",54.70
"MS","MGICB",1920.00
"MS","MGICD",22.36
"MS","MGICP",380.00
"MS","MGICV",42.90
"MS","MGTCB",205264.00
"MS","MGTCD",22.36
"MS","MGTCP",40646.00
"MS","MGTCV",4589.40
"MT","MGACB",63843.00
"MT","MGACD",27.63
"MT","MGACP",12642.00
"MT","MGACV",1763.70
"MT","MGCCB",788.00
"MT","MGCCD",27.63
"MT","MGCCP",156.00
"MT","MGCCV",21.80
"MT","MGICB",1699.00
"MT","MGICD",27.63
"MT","MGICP",336.00
"MT","MGICV",46.90
"MT","MGTCB",66329.00
"MT","MGTCD",27.63
"MT","MGTCP",13135.00
"MT","MGTCV",1832.50
"NC","MGACB",551186.00
"NC","MGACD",23.77
"NC","MGACP",109146.00
"NC","MGACV",13099.00
"NC","MGCCB",12385.00
"NC","MGCCD",23.77
"NC","MGCCP",2452.00
"NC","MGCCV",294.30
"NC","MGICB",6581.00
"NC","MGICD",23.77
"NC","MGICP",1303.00
"NC","MGICV",156.40
"NC","MGTCB",570152.00
"NC","MGTCD",23.77
"NC","MGTCP",112901.00
"NC","MGTCV",13549.70
"ND","MGACB",47191.00
"ND","MGACD",25.03
"ND","MGACP",9345.00
"ND","MGACV",1181.20
"ND","MGCCB",524.00
"ND","MGCCD",25.03
"ND","MGCCP",104.00
"ND","MGCCV",13.10
"ND","MGICB",1718.00
"ND","MGICD",25.03
"ND","MGICP",340.00
"ND","MGICV",43.00
"ND","MGTCB",49433.00
"ND","MGTCD",25.03
"ND","MGTCP",9789.00
"ND","MGTCV",1237.30
"NE","MGACB",102473.00
"NE","MGACD",24.22
"NE","MGACP",20292.00
"NE","MGACV",2482.40
"NE","MGCCB",1894.00
"NE","MGCCD",24.22
"NE","MGCCP",375.00
"NE","MGCCV",45.90
"NE","MGICB",3164.00
"NE","MGICD",24.22
"NE","MGICP",627.00
"NE","MGICV",76.60
"NE","MGTCB",107531.00
"NE","MGTCD",24.22
"NE","MGTCP",21293.00
"NE","MGTCV",2604.90
"NH","MGACB",78133.00
"NH","MGACD",24.24
"NH","MGACP",15472.00
