"State","MSN","2021"
"HI","ESCCB",9501.00
"HI","ESCCD",90.50
"HI","ESCCP",2785.00
"HI","ESCCV",859.80
"HI","ESICB",11351.00
"HI","ESICD",79.48
"HI","ESICP",3327.00
"HI","ESICV",890.50
"HI","ESRCB",9639.00
"HI","ESRCD",98.16
"HI","ESRCP",2825.00
"HI","ESRCV",946.20
"HI","ESTCB",30491.00
"HI","ESTCD",88.86
"HI","ESTCP",8936.00
"HI","ESTCV",2696.60
"IA","ESACB",0.00
"IA","ESACD",0.00
"IA","ESACP",0.00
"IA","ESACV",0.00
"IA","ESCCB",41405.00
"IA","ESCCD",29.81
"IA","ESCCP",12135.00
"IA","ESCCV",1234.40
"IA","ESICB",89075.00
"IA","ESICD",19.44
"IA","ESICP",26106.00
"IA","ESICV",1731.60
"IA","ESRCB",49992.00
"IA","ESRCD",37.30
"IA","ESRCP",14652.00
"IA","ESRCV",1864.60
"IA","ESTCB",180472.00
"IA","ESTCD",26.77
"IA","ESTCP",52893.00
"IA","ESTCV",4830.60
"ID","ESACB",0.00
"ID","ESACD",0.00
"ID","ESACP",0.00
"ID","ESACV",0.00
"ID","ESCCB",22520.00
"ID","ESCCD",23.13
"ID","ESCCP",6600.00
"ID","ESCCV",520.90
"ID","ESICB",32020.00
"ID","ESICD",18.73
"ID","ESICP",9384.00
"ID","ESICV",599.70
"ID","ESRCB",31734.00
"ID","ESRCD",29.77
"ID","ESRCP",9301.00
"ID","ESRCV",944.60
"ID","ESTCB",86275.00
"ID","ESTCD",23.94
"ID","ESTCP",25286.00
"ID","ESTCV",2065.20
"IL","ESACB",1551.00
"IL","ESACD",18.81
"IL","ESACP",455.00
"IL","ESACV",29.20
"IL","ESCCB",160102.00
"IL","ESCCD",28.29
"IL","ESCCP",46923.00
"IL","ESCCV",4529.40
"IL","ESICB",141591.00
"IL","ESICD",21.38
"IL","ESICP",41498.00
"IL","ESICV",2796.60
"IL","ESRCB",159726.00
"IL","ESRCD",38.61
"IL","ESRCP",46813.00
"IL","ESRCV",6167.80
"IL","ESTCB",462970.00
"IL","ESTCD",29.91
"IL","ESTCP",135689.00
"IL","ESTCV",13523.00
"IN","ESACB",60.00
"IN","ESACD",29.47
"IN","ESACP",18.00
"IN","ESACV",1.80
"IN","ESCCB",78206.00
"IN","ESCCD",33.93
"IN","ESCCP",22921.00
"IN","ESCCV",2653.80
"IN","ESICB",147840.00
"IN","ESICD",21.64
"IN","ESICP",43329.00
"IN","ESICV",3092.60
"IN","ESRCB",114206.00
"IN","ESRCD",39.20
"IN","ESRCP",33472.00
"IN","ESRCV",4476.50
"IN","ESTCB",340313.00
"IN","ESTCD",30.49
"IN","ESTCP",99740.00
"IN","ESTCV",10224.70
"KS","ESACB",0.00
"KS","ESACD",0.00
"KS","ESACP",0.00
"KS","ESACV",0.00
"KS","ESCCB",52396.00
"KS","ESCCD",30.82
"KS","ESCCP",15356.00
"KS","ESCCV",1615.10
"KS","ESICB",38781.00
"KS","ESICD",21.63
"KS","ESICP",11366.00
"KS","ESICV",753.00
"KS","ESRCB",46981.00
"KS","ESRCD",38.05
"KS","ESRCP",13769.00
"KS","ESRCV",1787.50
"KS","ESTCB",138158.00
"KS","ESTCD",30.97
"KS","ESTCP",40492.00
"KS","ESTCV",4155.60
"KY","ESACB",0.00
"KY","ESACD",0.00
"KY","ESACP",0.00
"KY","ESACV",0.00
"KY","ESCCB",63756.00
"KY","ESCCD",31.50
"KY","ESCCP",18686.00
"KY","ESCCV",2008.50
"KY","ESICB",100301.00
"KY","ESICD",17.43
"KY","ESICP",29397.00
"KY","ESICV",1694.30
"KY","ESRCB",90194.00
"KY","ESRCD",33.71
"KY","ESRCP",26434.00
"KY","ESRCV",3040.80
"KY","ESTCB",254252.00
"KY","ESTCD",26.85
"KY","ESTCP",74517.00
"KY","ESTCV",6743.60
"LA","ESACB",32.00
"LA","ESACD",31.56
"LA","ESACP",9.00
"LA","ESACV",1.00
"LA","ESCCB",76632.00
"LA","ESCCD",29.99
"LA","ESCCP",22460.00
"LA","ESCCV",2297.90
"LA","ESICB",129458.00
"LA","ESICD",18.21
"LA","ESICP",37942.00
"LA","ESICV",1803.10
"LA","ESRCB",103753.00
"LA","ESRCD",32.30
"LA","ESRCP",30408.00
"LA","ESRCV",3351.60
"LA","ESTCB",309876.00
"LA","ESTCD",26.67
"LA","ESTCP",90819.00
"LA","ESTCV",7453.70
"MA","ESACB",1074.00
"MA","ESACD",19.09
"MA","ESACP",315.00
"MA","ESACV",20.50
"MA","ESCCB",81316.00
"MA","ESCCD",49.79
"MA","ESCCP",23832.00
"MA","ESCCV",4048.40
"MA","ESICB",21652.00
"MA","ESICD",44.49
"MA","ESICP",6346.00
"MA","ESICV",963.20
"MA","ESRCB",69282.00
"MA","ESRCD",67.09
"MA","ESRCP",20305.00
"MA","ESRCV",4647.90
"MA","ESTCB",173324.00
"MA","ESTCD",55.85
"MA","ESTCP",50798.00
"MA","ESTCV",9680.00
"MD","ESACB",1440.00
"MD","ESACD",22.21
"MD","ESACP",422.00
"MD","ESACV",32.00
"MD","ESCCB",93615.00
"MD","ESCCD",30.06
"MD","ESCCP",27437.00
"MD","ESCCV",2814.10
"MD","ESICB",11875.00
"MD","ESICD",24.79
"MD","ESICP",3480.00
"MD","ESICV",294.40
"MD","ESRCB",95415.00
"MD","ESRCD",38.46
"MD","ESRCP",27965.00
"MD","ESRCV",3669.20
"MD","ESTCB",202345.00
"MD","ESTCD",33.65
"MD","ESTCP",59304.00
"MD","ESTCV",6809.70
"ME","ESACB",0.00
"ME","ESACD",0.00
"ME","ESACP",0.00
"ME","ESACV",0.00
"ME","ESCCB",13474.00
"ME","ESCCD",37.81
"ME","ESCCP",3949.00
"ME","ESCCV",509.40
"ME","ESICB",8781.00
"ME","ESICD",27.98
"ME","ESICP",2574.00
"ME","ESICV",245.70
"ME","ESRCB",17272.00
"ME","ESRCD",49.88
"ME","ESRCP",5062.00
