"State","MSN","2021"
"WI","ESACP",1.00
"WI","ESACV",0.20
"WI","ESCCB",79384.00
"WI","ESCCD",32.10
"WI","ESCCP",23266.00
"WI","ESCCV",2547.80
"WI","ESICB",79484.00
"WI","ESICD",22.36
"WI","ESICP",23296.00
"WI","ESICV",1777.10
"WI","ESRCB",78012.00
"WI","ESRCD",42.56
"WI","ESRCP",22864.00
"WI","ESRCV",3320.20
"WI","ESTCB",236884.00
"WI","ESTCD",32.27
"WI","ESTCP",69427.00
"WI","ESTCV",7645.30
"WV","ESACB",0.00
"WV","ESACD",0.00
"WV","ESACP",0.00
"WV","ESACV",0.00
"WV","ESCCB",24417.00
"WV","ESCCD",27.83
"WV","ESCCP",7156.00
"WV","ESCCV",679.60
"WV","ESICB",49716.00
"WV","ESICD",17.79
"WV","ESICP",14571.00
"WV","ESICV",881.50
"WV","ESRCB",37705.00
"WV","ESRCD",35.62
"WV","ESRCP",11051.00
"WV","ESRCV",1343.20
"WV","ESTCB",111838.00
"WV","ESTCD",26.01
"WV","ESTCP",32778.00
"WV","ESTCV",2904.30
"WY","ESACB",0.00
"WY","ESACD",0.00
"WY","ESACP",0.00
"WY","ESACV",0.00
"WY","ESCCB",11749.00
"WY","ESCCD",28.36
"WY","ESCCP",3443.00
"WY","ESCCV",333.20
"WY","ESICB",32223.00
"WY","ESICD",20.01
"WY","ESICP",9444.00
"WY","ESICV",614.40
"WY","ESRCB",9886.00
"WY","ESRCD",32.74
"WY","ESRCP",2897.00
"WY","ESRCV",323.70
"WY","ESTCB",53857.00
"WY","ESTCD",24.29
"WY","ESTCP",15785.00
"WY","ESTCV",1271.30
