country,fh9800,fh90s,pol6670,pol70s,pol80s,pol90s,gdp90lgn,loggdp60s,loggdp70s,loggdp80s,muslimfish,islam,arab,catholic,opec,fuelavg,neighbors,polcomp7090,polcomp60s,polcomp70s,fatmids90s,fatmids60s,fatmids70s,fatmids80s,snew125fish,ltdf90pfish,wgvtnewfish,parl99,parl00,edrat97,edrat99,lifexp97,lifexp00,ecactr97,ecactr00,wommin00,litgap00,educgen,gini,urban
DR,5.6666665,5.1999998,-3,-0.30000001,6,6.5,3.1354506,6.6008806,7.0694776,7.227108,0,0,0,0.96600002,0,9.26952E-05,1.33,6.6190476,3.7,6.3000002,0,0,0,0,102.56,1,14,14.5,16.1,1.0952381,1.0869565,1.0594203,1.0802469,44.099998,47,4,16.4,72,0.46000001,63.299999
Ecu,5.3333335,5.5999999,1.6,-1.7,8.6000004,8.8800001,3.168792,8.5383377,9.002161,9.131319,0,0,0,0.96399999,0,0.095772251,4.5700002,6.7142859,6,4.5,1,0,2,2,99.099998,5,9,17.4,23.200001,0.85897434,0.92500001,1.077266,1.0766962,37.599998,39,20,6,77,0.41999999,60.400002
Egy,2.1666667,2.25,-7,-6.5,-4.8000002,-3,2.9872193,6.0668607,6.3530326,6.770546,1,0.89999998,1,0.002,0,0.026612414,-3.4000001,2.3333333,1,1.5,1,7,1,1,101.91,26,5,2,2.4000001,0.85714287,0.89999998,1.0494591,1.0487063,43.200001,44,6.0999999,22.200001,76,0.27000001,45.099998
ElSal,5.5,5.1500001,0,-1.7,4.1999998,8.8800001,3.1392493,7.3414693,7.4788885,7.2012095,0,0,0,0.96200001,0,0.004321104,6.3000002,6.1875,7.4000001,4.1999998,0,1,0,1,97.540001,7,24,16.700001,9.5,0.984375,1.0158731,1.0902256,1.0894188,52.299999,54,15.4,16.9,63,0.5,45.599998
Erit,2.3333333,2.6300001,,,,-2,2.217484,,,,1,0.5,0,0.5,0,0,-4.5999999,1,,,1,0,0,0,100.18,30,6,21,14.7,0.80000001,0.82758623,1.0628803,1.0533596,88.800003,87,11.8,21.5,26,0.44,17.700001
Est,6.5,6,,,,8,3.6519561,,8.3063211,8.4120255,0,0,0,0,0,0.025267622,8.1300001,1.1428572,,,0,0,0,0,87.239998,0,16,10.9,17.799999,1.0375,1.0595238,1.1825397,1.1674347,85.300003,82,14.3,0,86,0.34,73.5
Eth,3.3333333,3.0999999,-9,-6.9000001,-7.6999998,1,2,,,4.6712885,1,0.40000001,0,0.007,0,0.001329527,-5.6300001,1,1,0.89999998,2,4,6,7,100.19,16,14,2,7.6999998,0.58064514,0.55882353,1.0448114,1.0324074,69.699997,67,22.200001,35.099998,27,0.38,16.299999
Fiji,4.5,4.3499999,9,9,5,4.5,3.3721752,7.3013468,7.6592393,7.6966453,0,0.079999998,0,0.090000004,0,6.36E-06,-2,8,9,9,0,0,0,0,100.92,7,15,5.8000002,5.6999998,0.97530866,0.98809522,1.0609065,1.0519288,41.700001,45,20.700001,5.1999998,83,0.38,41.200001
Fin,7,7,10,10,10,10,4.4142547,9.4059,9.7988214,10.077079,0,0,0,0.001,0,0.007836092,7.6300001,10,10,10,0,0,0,0,96.879997,0,16,33.5,36.5,1.0638298,1.010101,1.1041096,1.0974289,87.300003,86,44.400002,0,100,0.23999999,63.900002
Fra,6.5,6.5,6.1999998,8,8.5,8.5,4.4086471,9.5130644,9.8702841,10.060463,0,0.075000003,0,0.764,0,0.00497707,10,10,10,10,1,2,1,0,95.160004,0,12,9.1000004,10.9,1.0329671,1.032258,1.1051213,1.103079,76.5,76,37.900002,0,94,0.31,75
Gab,3.5,3.6500001,-8.1999998,-9,-8.1000004,-3,3.6475785,7.890698,8.6154823,8.4668865,0,0.01,0,0.65200001,0,0.47120965,-3.23,1,1.7,1,0,1,0,0,100.48,20,7,9.6000004,9.1999998,1.0235294,1.0235294,1.0528376,1.0466019,78.300003,76,12.1,19.299999,86,0.44,52.200001
Gam,2,3.0500002,8,8,7.0999999,-0.75,2.5728717,5.7342,5.8524499,5.929482,1,0.85000002,0,0.018999999,0,6.31458E-05,-0.1,9.5714283,10,10,0,0,0,0,99.419998,12,19,2,2,0.72916669,0.6981132,1.0704846,1.0623608,79.800003,78,30.799999,37.599998,45,0.44999999,30.4
Geo,4.3333335,3.6999998,,,,4.1300001,3.3253105,6.5682683,6.9880061,7.3034873,0,0.1,0,0,0,0,2.73,1.1428572,,,1,0,0,0,89.370003,2,6,6.9000001,7.1999998,1.0142857,1.0289855,1.1211679,1.1188406,79.800003,78,9.6999998,,70,0.31,59.299999
Ger,6.5,6.5,,,10,10,4.3564081,,9.9451065,10.152756,0,0.037,0,0.43799999,0,0.002892838,9.6000004,10,,,0,2,0,1,97.620003,0,5,29.799999,31.700001,0.9775281,0.97894734,1.0852504,1.0832214,69.5,69,35.700001,0,94,0.28999999,86.900002
GerEast,,,10,10,10,,,,,,,,,,,,,,10,10,,0,0,0,,,,,,,,,,,,,,,,
GerW,,,-9,-9,-7.1999998,,,,,,,,,,,,,,1,1,,0,0,0,,,,,,,,,,,,,,,,
Gha,5.1666665,4.0999999,-3.5999999,-2.7,-6.3000002,2.71,2.5465426,6.0992479,6.060708,5.820085,0,0.16,0,0.18700001,0,0.014268136,-0.17,1.8421053,1.2,2.3,0,2,0,0,98.07,23,9,9,9,0.78723407,0.86666667,1.0600343,1.0468469,100.9,98,8.6000004,15.1,42,0.31,36.799999
Gre,6,6.0999999,-4.8000002,2.7,9,10,4.0308022,8.6293888,9.1709604,9.2554512,0,0.029999999,0,0.004,0,0.008099281,5.0799999,8.1999998,1.6,6.3000002,0,2,0,2,98.099998,6,6,6.3000002,8.6999998,1,1.0125,1.0674603,1.0701058,57.299999,58,7.0999999,1,81,0.31,59.5
Guat,4.5,4.0499997,2.5999999,-2.4000001,-1,4.8800001,3.1328998,6.9678063,7.2628698,7.2295771,0,0,0,0.94,0,0.003869102,5.6700001,4.9499998,4.9000001,5.0999999,0,0,0,0,101.2,16,10,12.5,8.8000002,0.84313726,0.8490566,1.0944625,1.0932475,38.700001,42,7.0999999,18.799999,65,0.47,39.400002
Guin,2.5,2.5,-9,-9,-7.5999999,-2.5,2.7259116,,,6.2510157,1,0.83999997,0,0.011,0,4.33657E-05,0.49000001,1,1,1,0,2,0,0,96.269997,28,13,8.8000002,8.8000002,0.52777779,0.54054052,1.0217391,1.0212766,90.5,89,11.1,28.1,49,0.56999999,30.6
Guin-B,3.8333333,3.6999998,,-7,-7.5,0.28999999,2.3483047,5.3390141,5.3417006,5.3519225,0,0.30000001,0,0.094999999,0,3.32536E-05,-1.35,1.0588236,,1,0,0,0,1,94.610001,35,16,10,7.8000002,0.55813956,0.57446808,1.0689656,1.0645162,65.699997,63,8.3000002,19.700001,37,0.52999997,22.5
Guy,6,5.6500001,1.4,0,-7,4.3800001,2.7435098,6.663271,6.8307352,6.6349864,0,0.1,0,0.18000001,0,6.44E-06,4.5799999,4.4285712,6,5.6999998,0,0,0,0,101.45,2,19,15.6,20,1,1.0153847,1.111293,1.1426146,48.900002,49,5.5999999,0.89999998,66,0.38,36.400002
Hai,2.8333333,2.4499998,-9,-9.6000004,-5.0999999,3.5,2.6821451,6.2198901,6.2755942,6.259903,0,0,0,0.82599998,0,3.04E-06,3,1.8421053,1,1.4,0,0,0,0,97.300003,6,9,3.5999999,3.5999999,0.95999998,0.96226418,1.0933852,1.1207243,72.800003,70,18.200001,44.200001,52,0.46000001,33
Hon,5.1666665,5.1999998,-1,-0.80000001,5,7,2.8337843,6.3217983,6.5070624,6.5339365,0,0,0,0.958,0,0.000644917,6.5700002,6.7368422,6,5.5,0,2,0,2,100.23,1,15,9.3999996,5.5,1.0350877,1.05,1.0711111,1.0901898,45.099998,47,33.299999,25.5,61,0.50999999,45
Hun,6.5,6.4000001,-7,-7,-4.0999999,10,3.686368,7.7267065,8.1996984,8.4560843,0,0,0,0.53899997,0,0.009062192,5.0700002,1.5,1,1,0,0,0,0,90.440002,0,11,8.3000002,8.3000002,1.0273973,1.050633,1.1212575,1.1266766,73.599998,71,35.900002,0.80000001,81,0.28,65.5
India,5.5,4.75,9,8.1999998,8,8,2.5198281,5.2775002,5.3851604,5.6145177,0,0.17,0,0.012,0,0.001541556,0.38,7.4761906,9,7.8000002,3,16,4,11,106.58,26,5,8.3000002,8.8000002,0.75806451,0.7903226,1.0096308,1.0159236,50.299999,50,10.1,20.6,55,0.34999999,27.4
Indo,3.8333333,3.1500001,-6.8000002,-7,-7,-6.75,2.8909795,5.5616298,5.9886336,6.4412227,1,0.87,0,0.027000001,1,0.075036407,6.5700002,2,2.5,2,0,5,0,0,99.599998,14,2,11.4,8,0.89705884,0.89705884,1.0584518,1.0606532,66.900002,67,5.9000001,7,65,0.34,37.400002
Iran,2,1.6999998,-10,-8,-5.4000001,-6,3.023664,,7.5362558,7.2049274,1,1,0,0.001,1,0.17194992,-5.1599998,1.5,1,0.80000001,1,3,11,12,104.56,18,1,4.9000001,3.4000001,0.89473683,0.90789473,1.0218978,1.0264705,35.599998,37,9.3999996,13.7,73,0.36000001,60
Iraq,1,1,-6.1999998,-7.4000001,-9,-8,3.3873899,,,,1,0.97000003,1,0.017999999,1,0.25802749,-3.8,1,2.4000001,1,1,4,12,11,102.35,24,0,6.4000001,6.4000001,0.7719298,0.7719298,1.0492611,1.0492611,24,24,0,31.75934,50.629993,0.33000001,75.5
Ire,7,7,10,10,10,10,4.1432333,8.8107071,9.1593657,9.4184198,0,0,0,0.95300001,0,0.002863029,10,10,10,10,0,0,0,0,98.690002,0,11,13.7,12,1.0465117,1.0449438,1.076087,1.0702703,50.799999,52,18.799999,0,91,0.34,57.900002
Isr,6.1666665,6.0500002,9.1999998,9,9,9,4.132452,8.8453798,9.2693424,9.4488039,0,0.146,0,0.01,0,0.00117976,-2.9200001,9,9.6000004,9,1,26,8,4,98.910004,6,7,7.5,13.3,1.0253165,1.0243902,1.0528401,1.0508474,66.900002,67,6.0999999,2.5999999,83,0.34,90.900002
Ita,6.5,6.5,10,10,10,10,4.2586613,9.0722685,9.4428406,9.6914616,0,0.01,0,0.83200002,0,0.003061512,3.74,10,10,10,1,0,0,0,95.18,1,10,10,9.8000002,1.0375,1.074074,1.0826666,1.0849934,58.099998,58,17.6,1,84,0.25999999,66.699997
Jam,6,5.75,10,10,10,9.25,3.217747,7.59797,7.7596474,7.5896492,0,0,0,0.096000001,0,0.001236442,-2.8299999,10,10,10,0,0,0,0,99.330002,-8,19,16.299999,13.3,1.016129,0.98412699,1.0534979,1.0545703,86.400002,85,12.5,9.3000002,62,0.38999999,54.700001
