country,fh9800,fh90s,pol6670,pol70s,pol80s,pol90s,gdp90lgn,loggdp60s,loggdp70s,loggdp80s,muslimfish,islam,arab,catholic,opec,fuelavg,neighbors,polcomp7090,polcomp60s,polcomp70s,fatmids90s,fatmids60s,fatmids70s,fatmids80s,snew125fish,ltdf90pfish,wgvtnewfish,parl99,parl00,edrat97,edrat99,lifexp97,lifexp00,ecactr97,ecactr00,wommin00,litgap00,educgen,gini,urban
NKor,1,1,-9,-9,-9,-9,2.6711729,,,,0,0,0,0,0,,1.37,1,1,1,2,22,8,0,98.32,0,,20,20,,,1.0467128,1.0516543,78.823532,78.823532,,,,0.34,59.566101
Nor,7,7,10,10,10,10,4.4599953,9.5312099,9.8934402,10.191555,0,0,0,0.003,0,0.15394686,8.6300001,10,10,10,0,0,0,0,98.440002,0,23,36.400002,36.400002,1.0537634,1.0421053,1.0784575,1.0780423,83.800003,84,42.099998,0,97,0.25,73.599998
NZ,7,7,10,10,10,10,4.1768432,9.4087095,9.5525341,9.6313953,0,0,0,0.18700001,0,0.005261065,10,10,10,10,0,0,0,0,98.5,0,28,29.200001,30.799999,1.076087,1.0526316,1.0755736,1.0720961,78.099998,79,44,0,99,0.28999999,86.300003
Oman,2.1666667,2.0999999,-10,-10,-10,-9.1300001,3.746712,7.2623138,8.1316605,8.5232506,1,0.86000001,1,0.001,0,0.37929299,-5.5999999,1,1,1,0,0,0,1,109.68,29,4,0,0,0.94999999,0.94915253,1.0638607,1.0416069,20.4,25,0,15.4,58,0.36000001,79.5
Pak,2.6666667,3.4000001,0.60000002,0.40000001,-1.6,7.75,2.651278,5.4194527,5.640758,5.9704247,1,0.97000003,0,0.005,0,0.001380498,-1.99,3.5,4.3000002,3.2,2,11,2,6,104.84,29,3,2,2,0.5,0.54901963,1.0349761,0.99501663,40.299999,42,4,20.1,40,0.28999999,35.400002
Pan,6.1666665,5.6500001,-2.5999999,-6.6999998,-3.4000001,8.6300001,3.4019172,7.685895,7.9795723,8.0320587,0,0,0,0.85000002,0,0.003022536,8.8999996,2.6190476,4.5,1.6,0,0,0,1,102.51,2,5,9.6999998,9.8999996,1.0277778,1.0410959,1.0640669,1.0637119,53.900002,55,20,7.6999998,74,0.46000001,56.5
PapNG,5.5,5.25,,10,10,10,2.9484129,6.5661683,6.8223286,6.7146325,0,0,0,0.32800001,0,0.089642122,3,10,,10,0,0,0,0,106.44,18,5,1.8,1.8,0.82499999,0.83333331,1.0262238,1.0340502,76.900002,79,0,23.200001,38,0.47999999,16.6
Par,4.5,4.6500001,-8.1999998,-8,-6,5.75,3.2591159,6.8873215,7.2387376,7.4934778,0,0,0,0.95999998,0,0.000230471,8.0699997,2.4761906,1.4,2,0,1,0,0,101.55,4,7,8,2.5,0.98461539,1,1.0666667,1.0676471,42.400002,43,6.6999998,5.8000002,64,0.56,53.900002
Peru,4,3.5999999,-2.2,-4.1999998,7.0999999,1.5,3.303628,7.6960635,7.8325977,7.7672024,0,0,0,0.95099998,0,0.006674673,8.3000002,4.4736843,4.5,1.4,1,0,2,2,101.22,13,20,10.8,17.5,0.96249998,0.97530866,1.0758725,1.075075,43,43,16.200001,4.6999998,80,0.44,71.599998
Phil,5.5,5.1500001,3.8,-7.9000001,-0.1,8.8800001,3.0269415,6.6943989,6.9385204,6.9872317,0,0.050000001,0,0.84100002,0,0.004273552,2.1700001,3.05,6,1.5,0,0,0,0,99.139999,1,17,12.9,17.799999,1.0625,1.05,1.0556391,1.0594354,60.799999,61,4.5,4.9000001,82,0.44,56
Pol,6.5,6.3000002,-7,-6.9000001,-4.5999999,8.5,3.4623981,,,7.8649178,0,0,0,0.81,0,0.013507813,8.3400002,1.9047619,1,1.1,0,0,0,0,94.720001,1,11,12.9,20.200001,1.012987,1.0361446,1.127566,1.1199422,81.400002,80,18.700001,0.30000001,84,0.31,64.400002
Por,7,7,-9,1.8,9.8999996,10,3.9865925,8.2406864,8.7837896,9.0068274,0,0,0,0.94099998,0,0.005106869,1.6,8.1052628,1,5.3000002,0,1,1,0,92.269997,7,11,13,18.700001,1.0568181,1.0531915,1.0974931,1.0984744,71.900002,71,9.6999998,5.0999999,96,0.34,36.5
Qat,2,2.3,,-10,-10,-10,4.176959,,,,1,0.93000001,1,0.012,1,0.41323537,-7.4000001,1,,1,0,0,0,0,,1,0,0,0,1.0724638,1,1.0771428,1.0378457,30.700001,45,0,16.9,75,0.36000001,91.800003
Rom,6,4.9499998,-7,-7.4000001,-5.9000001,6.1300001,3.1975563,,,7.5135231,0,0,0,0.048999999,0,0.01733025,5.1399999,1.3,1,1,0,0,0,0,94.550003,4,9,5.5999999,10.7,1,1.0294118,1.1163142,1.1022556,77.599998,76,20,0.69999999,69,0.27000001,56.799999
Rus,3.5,4.25,,,,4.5,3.5644293,7.4579511,7.894515,8.1739922,0,0.059999999,0,0,0,0.13173212,3.9200001,1.1428572,,,3,5,4,2,87.650002,1,5,7.5,7.5999999,1.081081,1.0933334,1.2013202,1.2063228,83.599998,82,2.4000001,0.60000002,78,0.46000001,76.599998
Rwa,1.5,1.6999998,-5,-6.5999999,-7,-6,2.4653828,5.4834371,5.5915904,5.7501445,0,0.01,0,0.55599999,0,2.25E-06,-4.6799998,1.7142857,6,2,1,0,0,0,98.57,19,15,17.1,25.700001,0.95454544,0.9512195,1.0583756,1.038071,93.199997,89,13,21.799999,40,0.27000001,5.8000002
SAf,6.5,5.5,4,4,4.0999999,7.8600001,3.6141586,8.1451893,8.3838749,8.3754349,0,0.02,0,0.101,0,0.016054977,1,2.0476191,2,2,0,0,1,1,98.230003,2,16,28.4,29.799999,1.0107527,1.0786517,1.1281554,1.0737052,59.400002,59,38.099998,13.4,93,0.56999999,49.700001
SArab,1,1.0500002,-10,-10,-10,-10,3.8512583,8.5996704,9.2161503,8.9932051,1,1,1,0.001,1,0.32885793,-4.6700001,1,1,1,2,1,1,0,123.68,27,0,0,0,0.91379309,0.96774191,1.0500715,1.0354609,21.1,27,0,14.1,61,0.36000001,84.099998
Sen,4.1666665,4.0499997,-7,-5.0999999,-1,1.13,2.757396,6.4646411,6.384469,6.3407087,1,0.94,0,0.056000002,0,0.030458676,-0.52999997,5.1428571,1,1.7,0,0,1,3,95.080002,19,10,19.299999,19.200001,0.77499998,0.77499998,1.0732673,1.0718447,74.300003,72,15.6,30.4,36,0.38999999,45
Sing,3,2.8,-2,-2,-2,-2,4.300313,8.2373924,9.0324678,9.5640755,0,0.12,0,0.046999998,0,0.13429241,-0.30000001,2,2.4000001,2,0,0,0,0,99.559998,11,7,4.8000002,11.8,0.95945948,0.9868421,1.058745,1.0583555,64.800003,64,5.6999998,3.5999999,75,0.28999999,100
SKor,6,5.9000001,3,-7,-1.2,9.25,3.9012947,7.4396596,8.079917,8.6691389,0,0,0,0.039000001,0,0.009464807,-0.38,3.6500001,5.8000002,2.4000001,0,11,8,0,101.81,5,7,3.7,5.9000001,0.89361703,0.89473683,1.1046512,1.1039326,70.099998,70,6.5,0.60000002,90,0.30000001,83.5
SLeo,3.8333333,2.5,0.40000001,-6.3000002,-7,-4.1300001,2.4456041,5.6841679,5.8242941,5.8034325,1,0.30000001,0,0.022,0,0.001896154,2.7,1.4285715,5.1999998,1.7,0,0,0,0,94.360001,27,10,8.8999996,8.8000002,0.65625,0.65625,1.0810056,1.0691489,55.200001,54,8.1000004,27.5,27,0.60000002,34.599998
Slovak,6.3333335,5.5599999,,,,7.1700001,3.5826313,,,8.3320122,0,0,0,0.60299999,0,0.023246747,9.0200005,1.3333334,,,0,0,0,0,94.730003,0,22,12.7,14,1.027027,1.0405406,1.1083815,1.1139971,86.800003,84,19,0,76,0.18000001,59.700001
Sloven,6.5,6.3499999,,,,10,3.9849322,,,9.1756811,0,0.01,0,0.708,0,0.007702346,6.8099999,1.0952381,,,0,0,0,0,94.480003,1,16,7.8000002,12.2,1.054054,1.0625,1.1076487,1.1032078,81.5,80,15,0.40000001,83,0.25999999,51.799999
Som,1.1666666,1.0500002,1.4,-7,-7,,2.230449,,,,1,1,1,0,0,0.001349749,-2.45,1,3.4000001,1,0,5,7,7,104.47,22,0,0,0,0.52658355,0.52658355,1.0682819,1.0719614,74.712646,74.712646,0,,5.9793868,0.33000001,26.3594
Spa,6.5,6.5,-7,-0.1,9.8999996,10,4.1297221,8.8188591,9.2350969,9.3860502,0,0,0,0.96899998,0,0.0040374,2.03,7.2777777,1,3.0999999,0,0,0,0,96.029999,3,7,19.9,28.299999,1.0561798,1.0879121,1.0939597,1.0933334,55.5,56,17.6,1.2,95,0.31,76.900002
SriLan,4.5,3.9499998,7.1999998,7.4000001,5.1999998,5,2.7708521,5.7402263,5.9626141,6.301333,0,0.07,0,0.068000004,0,0.000354702,8.6000004,6.6190476,5.1999998,7,0,0,0,0,98.839996,8,7,5.3000002,4.4000001,1.0307692,1.0441177,1.0634696,1.0834532,55.400002,55,13,5,70,0.33000001,22.6
Sud,1,1,4.1999998,-7,-2.0999999,-7,2.2966652,5.3889356,5.4355383,5.4313469,1,0.69999999,1,0.044,0,6.63534E-05,-4.73,1.7894737,2.7,1,1,0,0,2,102.54,29,0,5.3000002,9.6999998,0.83783782,0.8611111,1.0522388,1.051282,41,41,5.0999999,20.700001,34,0.33000001,33.299999
Swaz,2.6666667,2.5500002,0,-8,-10,-9.25,3.1601684,6.7282925,6.9493027,7.1058226,0,0,0,0.108,0,0,5.4499998,1.7142857,6,2,0,0,0,0,97.800003,4,12,6.3000002,3.0999999,0.95945948,0.94594592,1.0794473,1.0320367,55.5,52,12.5,18.4,72,0.56999999,33
Swe,7,7,10,10,10,10,4.4215546,9.7060032,9.9585695,10.126584,0,0,0,0.014,0,0.007581384,8.5699997,10,10,10,0,0,0,0,97.940002,0,31,42.700001,42.700001,1.0526316,1.0526316,1.0589777,1.0647669,90,89,55,0,100,0.23999999,83.199997
Swit,7,7,10,10,10,10,4.6622949,10.350318,10.531983,10.645045,0,0,0,0.528,0,0.000662999,9.75,10,10,10,0,0,0,0,97.800003,0,9,20.299999,23,0.91566265,0.93103451,1.0848806,1.0845443,65.699997,66,28.6,0,84,0.31,61.599998
Syr,1,1,-7.4000001,-9,-9,-9,2.9804578,5.9322686,6.3646445,6.5311389,1,0.89999998,1,0.016000001,0,0.16956161,1.47,1,2.8,1,5,16,6,3,104.41,35,3,10.4,10.4,0.8888889,0.93846154,1.0674663,1.0342857,36.5,37,11.1,7.5,63,0.36000001,53.099998
Taj,2,1.9000001,,,,-4.8800001,2.8561244,,,7.1275716,1,0.92000002,0,0,0,0,-6.54,1.1428572,,,1,0,0,0,98.57,2,6,2.8,12.7,0.89041096,0.875,1.0934579,1.0896446,78.699997,79,3.7,0.2,67,0.31,32.400002
Tan,3.8333333,3,-7,-7,-7,-2.6300001,2.2430379,,,5.2140903,0,0.33000001,0,0.28200001,0,0.000567146,-2.1900001,1,1,1,0,0,6,0,96.910004,26,12,17.5,22.299999,0.969697,0.969697,1.0491453,1.0420001,95.199997,93,10.5,12.5,32,0.36000001,25.700001
Thai,5.5,4.6500001,-2,-0.89999998,2.3,6.75,3.302331,6.3921657,6.8261271,7.2839384,0,0.037999999,0,0.004,0,0.00607203,-2.8499999,6,1.9,3.8,2,6,7,15,97.300003,6,6,6.5999999,9.1999998,1.0172414,1.0166667,1.0942249,1.0876671,86.300003,85,5.6999998,3.0999999,60,0.38999999,20.6
Togo,2.8333333,2.5500002,-6.8000002,-7,-7,-2,2.5740314,5.7966018,6.0182829,5.9624367,0,0.1,0,0.29300001,0,0.000950892,0.72000003,1,1.6,1,0,1,0,0,97.080002,35,7,1.2,4.9000001,0.62666667,0.64473683,1.052521,1.0474309,65.400002,62,7.4000001,16.5,62,0.44,31.700001
Trin,6.3333335,6.6500001,8,8,8.6999998,9,3.6122539,7.8007741,8.1814203,8.4210863,0,0.057999998,0,0.35800001,0,0.22777256,6.3000002,7.6666665,7,7,0,0,0,0,102.06,5,17,19.4,16.700001,0.98507464,1,1.0657343,1.0652778,56.299999,59,8.6999998,3.9000001,65,0.38,72.699997
Tun,2.5,2.5500002,-8.8000002,-9,-6.8000002,-3.5,3.2607868,6.7886028,7.237401,7.4510455,1,1,1,0.001,0,0.029483385,-0.37,1.6666666,1,1,0,1,0,0,102.87,26,8,7.4000001,11.5,0.94444442,0.95999998,1.0336257,1.0362319,46.099998,47,10,13.4,74,0.38,63.400002
Turk,3.5,3.75,8,5.4000001,5,8.75,3.413132,7.4015598,7.5691347,7.7250061,1,0.99800003,0,0.001,0,0.001506471,1.22,7.1904764,9,6.8000002,2,5,1,7,102.29,22,13,2.4000001,4.1999998,0.80597013,0.80882353,1.0781955,1.07578,59.599998,61,0,5.5,62,0.38999999,71.900002
Turkmn,1,1.1999998,,,,-8.8800001,3.0622058,,,7.8793874,1,0.89999998,0,0,0,0.27420142,-3.73,1.1428572,,,0,0,0,0,97.169998,2,3,18,26,1,1,1.1130856,1.1065183,82.099998,81,3.0999999,,81,0.38999999,45
UAE,2.5,2.45,,-8,-8,-8,4.3219919,,10.454709,10.035985,1,0.94999999,1,0.004,1,0.93520141,-7.8499999,1,1,1,1,0,0,0,,1,0,0,0,1.0909091,1.0923077,1.0351827,1.0583446,28.1,37,0,15.3,68,0.36000001,84.800003
Uga,3.1666667,3.0999999,-5.1999998,-5.3000002,-2.3,-4,2.3996737,,,5.4653282,0,0.16,0,0.49599999,0,0.001197967,-5.52,2.3157895,2.4444444,1.4,0,0,7,5,100.31,26,13,18.1,24.700001,0.81818181,0.83673471,1.0385604,1.0300231,89.900002,88,27.1,16.200001,45,0.37,13.2
UK,6.5,6.5,10,10,10,10,4.2560439,9.2824087,9.5020781,9.6831942,0,0.029999999,0,0.131,0,0.012564928,9.75,10,10,10,1,1,2,1,96.540001,0,20,12.3,17.9,1.010101,1,1.0711409,1.0664893,74.300003,74,33.299999,0,100,0.34,89.300003
Ukr,4.3333335,4.4499998,,,,6.3800001,3.2964458,,,7.6149373,0,0,0,0.41499999,0,0,7.3699999,1.1428572,,,0,0,0,0,86.830002,1,3,7.9000001,7.8000002,1.081081,1.012987,1.1551725,1.1722488,81.900002,80,0,0.5,77,0.31,71.099998
Uru,6.6666665,6.4000001,8,-6.0999999,2.8,10,3.6637952,8.3051701,8.4389362,8.4934301,0,0,0,0.625,0,0.000763911,7.5999999,4.3157897,10,0.80000001,0,0,0,0,95.25,-1,12,6.9000001,12.1,1.0945946,1.0921053,1.106383,1.1056339,66.199997,66,6.6999998,1.9,79,0.40000001,90.699997
US,7,7,10,10,10,10,4.4042006,9.6418209,9.8700075,10.066298,0,0,0,0.57599998,0,0.001547054,2.8299999,10,10,10,2,22,3,5,95.699997,0,32,12.5,14,1.0659341,1.0879121,1.0912807,1.0782726,81.099998,81,31.799999,0,95,0.38999999,76.599998
USSR,,,-7,-7,-5.9000001,,,,,,,,,,,,,,1,1,,0,0,0,,,,,,,,,,,,,,,,
Uz,1.5,1.4000001,,,,-9,3.126456,,,6.4031129,1,0.91000003,0,0.81800002,0,0,-5.3299999,1.1428572,,,1,0,0,0,97.910004,13,5,6,7.1999998,0.94871795,0.93670887,1.0995334,1.0877458,85.699997,85,4.4000001,6.3000002,76,0.31999999,41.599998
Ven,4.5,5,7.4000001,9,9,8.1300001,3.5254335,8.3085728,8.356885,8.1618586,0,0,0,0.73299998,1,0.19741717,7.48,10,8.3999996,10,0,1,0,0,101.76,2,5,12.2,9.6999998,1.030303,1.03125,1.0814285,1.0823864,51.900002,53,0,6.9000001,65,0.46000001,86.5
Vie,1.1666666,1,,-7,-7,-7,2.3138673,,,5.2728763,0,0,0,0.53399998,0,0.002888141,-4.54,1,,1,1,7,10,5,95.559998,7,3,26.200001,26,0.921875,0.92753625,1.072419,1.0713202,93.900002,91,7,4.5999999,67,0.34,19.5
VieN,,,-7.5999999,-7,,,,,,,,,,,,,,,1,1,,0,0,0,,,,,,,,,,,,,,,,
VieS,,,-3,-3,,,,,,,,,,,,,,,6,6,,0,0,0,,,,,,,,,,,,,,,,
Yem,2.5,2.6500001,,,0,0,2.4248817,,,5.6073251,1,1,1,0.317,0,0.22277302,-5.8000002,2.3333333,,,1,1,1,1,101.84,42,0,0.69999999,0.69999999,0.38571429,0.40277779,1.0174216,1.0369748,39,37,0,11.8,51,0.38,35.299999
YemN,,,-3,-4.5,-5.6999998,,,,,,,,,,,,,,3.3,2.3,,0,0,0,,,,,,,,,,,,,,,,
YemS,,,-5.25,-7,-7.5,,,,,,,,,,,,,,2.75,1.3,,0,0,0,,,,,,,,,,,,,,,,
Yug,3,2.4000001,-7,-6.8000002,-5,-6.25,3.1338582,,,,0,0.2,0,0,0,0.002216311,7.1799998,1.0952381,1,1,5,0,0,0,98.32,,7,6,6,1.0355822,,1.0732758,1.0706638,75.324677,75.324677,7,,,0.31,51.4599
Zam,3.5,4.1999998,0.80000001,-8.1000004,-9,4.1300001,2.6532125,6.519259,6.4969339,6.2580447,0,0,0,0.588,0,0.005012438,0,1.4761904,6,1.5,0,0,3,1,99.209999,19,10,10.3,12,0.86792451,0.88461536,1.0278481,0.97846889,80,75,6.1999998,12.5,49,0.47,43.599998
Zim,2.6666667,3,4,3.7,-1,-5.8800001,2.8488047,6.2050514,6.449182,6.4451284,0,0,0,0.62300003,0,0.002891437,5.8499999,2.8,2,2.2,0,0,5,0,99.419998,12,9,14.7,10,0.92957747,0.9402985,1.0252293,0.9837963,78.800003,78,36,6.3000002,65,0.54000002,33.200001
